Title;URL
ROSALÍA, Ozuna - Yo x Ti, Tu x Mi (Official Video);https://youtube.com/watch?v=2j3x0VYnehg&list=PL4XLEC-MUq2uP2OhrGWdOErGUDrEquhqi&index=2&t=0s
Melanie Martinez - Show & Tell [Official Music Video];https://youtube.com/watch?v=8cXPoQ5WalM&list=PL4XLEC-MUq2uP2OhrGWdOErGUDrEquhqi&index=3&t=0s
Tiësto, Mabel - God Is A Dancer (Official Video);https://youtube.com/watch?v=jnwDkVo6DxA&list=PL4XLEC-MUq2uP2OhrGWdOErGUDrEquhqi&index=4&t=0s
Bebe Rexha - You Can't Stop The Girl (Official Music Video);https://youtube.com/watch?v=1DmwyNkmTJ0&list=PL4XLEC-MUq2uP2OhrGWdOErGUDrEquhqi&index=5&t=0s
GASHI - Safety (Official Video) ft. DJ Snake;https://youtube.com/watch?v=-XsFfBuWbLM&list=PL4XLEC-MUq2uP2OhrGWdOErGUDrEquhqi&index=6&t=0s
Maroon 5 - Memories;https://youtube.com/watch?v=SlPhMPnQ58k&list=PL4XLEC-MUq2uP2OhrGWdOErGUDrEquhqi&index=7&t=0s
Zedd & Kehlani - Good Thing (Official Music Video);https://youtube.com/watch?v=CMla2ZIz7-4&list=PL4XLEC-MUq2uP2OhrGWdOErGUDrEquhqi&index=8&t=0s
Laura Bryna "Sweet Revenge" (Official Music Video);https://youtube.com/watch?v=5E9IeQP_nD0&list=PL4XLEC-MUq2uP2OhrGWdOErGUDrEquhqi&index=9&t=0s
Lukas Graham - Lie [OFFICIAL MUSIC VIDEO];https://youtube.com/watch?v=8Mq35AAJT1w&list=PL4XLEC-MUq2uP2OhrGWdOErGUDrEquhqi&index=10&t=0s
YUNGBLUD - original me ft. dan reynolds of imagine dragons (Official Music Video);https://youtube.com/watch?v=tP-zl8ruUKE&list=PL4XLEC-MUq2uP2OhrGWdOErGUDrEquhqi&index=11&t=0s
The Trash Mermaids - Club 27 (Official Lyric Video);https://youtube.com/watch?v=gDXA2MwCFmM&list=PL4XLEC-MUq2uP2OhrGWdOErGUDrEquhqi&index=12&t=0s
Selena Gomez - Lose You To Love Me (Official Video);https://youtube.com/watch?v=zlJDTxahav0&list=PL4XLEC-MUq2uP2OhrGWdOErGUDrEquhqi&index=13&t=0s
iamnotshane - Afterlife (Official Music Video);https://youtube.com/watch?v=k62FtUfVPXs&list=PL4XLEC-MUq2uP2OhrGWdOErGUDrEquhqi&index=14&t=0s
Lil Buzzy - Coupe (Dir. @AddachyMedia);https://youtube.com/watch?v=mG3_VHtZGAU&list=PL4XLEC-MUq2uP2OhrGWdOErGUDrEquhqi&index=15&t=0s
|THE ADDAMS FAMILY || "My Family" Lyric Video ft. Migos, Karol G, Snoop Dogg and Rock Mafia || MGM|;https://youtube.com/watch?v=ck_Yfm9VML8&list=PL4XLEC-MUq2uP2OhrGWdOErGUDrEquhqi&index=16&t=0s
LoVel - Ready (Official Music Video);https://youtube.com/watch?v=sL4iPywcU4g&list=PL4XLEC-MUq2uP2OhrGWdOErGUDrEquhqi&index=17&t=0s
Juice WRLD - Bandit ft. NBA Youngboy (Dir. by @_ColeBennett_);https://youtube.com/watch?v=Sw5fNI400E4&list=PL4XLEC-MUq2uP2OhrGWdOErGUDrEquhqi&index=18&t=0s
Selena Gomez - Look At Her Now (Official Video);https://youtube.com/watch?v=8u-_64S7plI&list=PL4XLEC-MUq2uP2OhrGWdOErGUDrEquhqi&index=19&t=0s
BB Nobre – Amor No Tiene Edad (Official Music Video);https://youtube.com/watch?v=OUpgtXR6Hhg&list=PL4XLEC-MUq2uP2OhrGWdOErGUDrEquhqi&index=20&t=0s
Ava Max - Torn [Official Music Video];https://youtube.com/watch?v=wBmWvvTV0P4&list=PL4XLEC-MUq2uP2OhrGWdOErGUDrEquhqi&index=21&t=0s
PVRIS - Hallucinations (Official Music Video);https://youtube.com/watch?v=NzdUeJnn0gM&list=PL4XLEC-MUq2uP2OhrGWdOErGUDrEquhqi&index=22&t=0s
Mustard - Ballin’ ft. Roddy Ricch;https://youtube.com/watch?v=YS0h2-hy9rw&list=PL4XLEC-MUq2uP2OhrGWdOErGUDrEquhqi&index=23&t=0s
Anuel AA, Daddy Yankee, Karol G, Ozuna & J Balvin - China (Video Oficial);https://youtube.com/watch?v=0VR3dfZf9Yg&list=PL4XLEC-MUq2uP2OhrGWdOErGUDrEquhqi&index=24&t=0s
King Princess - Ain't Together (Lyric Video);https://youtube.com/watch?v=sLJbYJzD-Y0&list=PL4XLEC-MUq2uP2OhrGWdOErGUDrEquhqi&index=25&t=0s
Jordyn Jones - More (OFFICIAL MUSIC VIDEO);https://youtube.com/watch?v=X3u7Vfo-CV8&list=PL4XLEC-MUq2uP2OhrGWdOErGUDrEquhqi&index=26&t=0s
Zero 9:36 - Leave The Light On (Official Video) [Judgement Night - Chapter 1];https://youtube.com/watch?v=LYgNFlu-fgc&list=PL4XLEC-MUq2uP2OhrGWdOErGUDrEquhqi&index=27&t=0s
C. Tangana, Paloma Mami - No Te Debí Besar (Video Oficial);https://youtube.com/watch?v=TVknWXk2v50&list=PL4XLEC-MUq2uP2OhrGWdOErGUDrEquhqi&index=28&t=0s
Angel - Blessings (Official Video);https://youtube.com/watch?v=ssGuCHV-IpM&list=PL4XLEC-MUq2uP2OhrGWdOErGUDrEquhqi&index=29&t=0s
Rod Wave - Heart On Ice Remix feat. Lil Durk (Official Music Video);https://youtube.com/watch?v=cefVIm2I6BI&list=PL4XLEC-MUq2uP2OhrGWdOErGUDrEquhqi&index=30&t=0s
Rah-C - That Guy (Official Video);https://youtube.com/watch?v=JhA4JXeqa64&list=PL4XLEC-MUq2uP2OhrGWdOErGUDrEquhqi&index=31&t=0s
Flawes - Ghost Town ft. ROZES (Official Music Video);https://youtube.com/watch?v=XO32HHR8BVw&list=PL4XLEC-MUq2uP2OhrGWdOErGUDrEquhqi&index=32&t=0s
Jae Mansa - Blessings [Official Video] ft. Tee Grizzley, SL;https://youtube.com/watch?v=ZoB1C-ySh1I&list=PL4XLEC-MUq2uP2OhrGWdOErGUDrEquhqi&index=33&t=0s
Chris Webby - Lights Out (feat. Justina Valentine) [Official Video];https://youtube.com/watch?v=B-PDs3PiG00&list=PL4XLEC-MUq2uP2OhrGWdOErGUDrEquhqi&index=34&t=0s
Bazzi - I.F.L.Y. [Official Video];https://youtube.com/watch?v=Xhh3_-JRnDc&list=PL4XLEC-MUq2uP2OhrGWdOErGUDrEquhqi&index=35&t=0s
ROSALÍA, J Balvin - Con Altura (Official Video) ft. El Guincho;https://youtube.com/watch?v=p7bfOZek9t4&list=PL4XLEC-MUq2uP2OhrGWdOErGUDrEquhqi&index=36&t=0s
Drama Relax - All That (ft. Jeremih) [Official Music Video];https://youtube.com/watch?v=9_8glUwFAXM&list=PL4XLEC-MUq2uP2OhrGWdOErGUDrEquhqi&index=37&t=0s
Pi'erre Bourne - Poof;https://youtube.com/watch?v=tRN3dvwGiO4&list=PL4XLEC-MUq2uP2OhrGWdOErGUDrEquhqi&index=38&t=0s
YBN Cordae & Anderson .Paak - RNP (Official Video);https://youtube.com/watch?v=kh5x_tMGEh0&list=PL4XLEC-MUq2uP2OhrGWdOErGUDrEquhqi&index=39&t=0s
